claim_id,module,audience,question,claim,patient_answer,technician_detail,evidence_strength,source_pmids,source_labels,clinical_action,caveat,status
FAQ-008,Patient FAQ,patient,Is discomfort a sign that treatment is working?,Discomfort is not a reliable sign of efficacy; stimulation should be tolerable while still following the prescribed intensity and target.,Stronger pain does not mean better treatment. Tell us if it hurts so we can assess it.,Do not trade tolerability for unapproved dose changes. Use protocol-approved comfort adjustments.,strong,33243615; 28541649,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression.",Correct the 'pain equals efficacy' misconception.,Some protocols may include ramping or adaptation periods.,ready_for_training_draft_after_full_text_QA
FAQ-009,Patient FAQ,patient,Why do you ask the same questions every day?,"Repeated screening catches changes in safety status, medication/substance state, sleep, and symptoms that may matter for that day's treatment.",The daily questions are a safety check. Your answers help us know whether anything changed since the last session.,"Daily screening should be brief, consistent, documented, and escalated when positive.",strong,33243615; 11332408,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 11332408: A safety screening questionnaire for transcranial magnetic stimulation.",Explain repetitive screening as active safety work.,Exact daily checklist content is clinic-specific.,ready_for_training_draft_after_full_text_QA
FAQ-010,Patient FAQ,patient,What should I report between sessions?,"Patients should report new neurological events, fainting, severe or unusual headache, medication changes, substance changes, pregnancy status changes, mania symptoms, and worsening suicidality.","Report anything medically significant or unusual, especially medication changes, fainting, seizure-like events, severe headache, or major mood changes.",Have a clear path for urgent psychiatric symptoms and medical events.,strong,33243615; 19833552; 28541649,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research. | 28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression.",Include in written patient onboarding.,"Emergency symptoms require emergency care, not just next-session reporting.",ready_for_training_draft_after_full_text_QA
TEC-001,Technician Workflow,technician,What must be verified before each session?,"Before each session, technicians should verify patient identity, treatment order, site/target, protocol, intensity, session number, contraindication updates, ear protection, and adverse events since last session.",We verify details each day to make sure the treatment matches your prescription and safety status.,Use a forced checklist rather than memory for setup-critical steps.,strong,33243615; 28541649; 27090022,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder.",Convert to a pre-session checklist.,Device-specific checks should be added from manufacturer manuals.,ready_for_training_draft_after_full_text_QA
TEC-002,Technician Workflow,technician,What should be documented?,"Each treatment record should document target/localization method, coil orientation, intensity, motor threshold basis, pulse/train parameters, patient state changes, tolerability, and adverse events.",The treatment log helps the team keep sessions consistent.,"Documentation is part of dose fidelity, not clerical afterthought.",strong,33243615; 28541649; 27090022,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder.",Audit charts for dose-fidelity fields.,Exact fields vary by device and clinic.,ready_for_training_draft_after_full_text_QA
TEC-003,Technician Workflow,technician,How should RMT be measured?,"RMT should be measured with a defined, reproducible method and sufficient observations, with the method documented so later changes can be interpreted.",The mapping step personalizes the dose.,"Methods include Rossini-Rothwell-style thresholding, adaptive threshold hunting, and emerging automated tools; clinics should validate their method.",strong,41949547; 42082007; 33243615,"41949547: Comparison of 4 Methods to Estimate the Resting Motor Threshold Using Transcranial Magnetic Stimulation: Rossini-Rothwell, 2-Threshold, Adaptive Threshold Hunting, and Stimulus-Response Curve Approaches. | 42082007: 'RMT-Finder': An automated procedure to determine the Resting Motor Threshold for Transcranial Magnetic Stimulation. | 33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines.",Train technicians to one clinic-standard MT method before independent operation.,Visual twitch detection and EMG-based methods may differ.,ready_for_training_draft_after_full_text_QA
TEC-004,Technician Workflow,technician,When should RMT be rechecked?,"RMT should be rechecked according to clinic protocol and when meaningful clinical-state changes occur, such as medication changes, major sleep deprivation, neurological events, long treatment gaps, or unexpected tolerability/motor findings.",Sometimes we repeat mapping because your brain-state or medication situation changed.,Escalate possible RMT-shifting changes rather than silently continuing the old dose.,moderate,33243615; 37738899; 41949547,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 37738899: Influence of time of day on resting motor threshold in clinical TMS practice. | 41949547: Comparison of 4 Methods to Estimate the Resting Motor Threshold Using Transcranial Magnetic Stimulation: Rossini-Rothwell, 2-Threshold, Adaptive Threshold Hunting, and Stimulus-Response Curve Approaches.",Define RMT recheck triggers in the SOP.,Published evidence does not define one universal recheck interval.,ready_for_training_draft_after_full_text_QA
TEC-005,Technician Workflow,technician,Does time of day matter?,"Time of day can influence resting motor threshold in clinical practice, so consistent scheduling may reduce avoidable variability when feasible.",We try to keep treatment conditions consistent when possible.,"Do not delay clinically needed care solely for time matching, but note large schedule shifts if MT or tolerability changes.",limited,37738899,37738899: Influence of time of day on resting motor threshold in clinical TMS practice.,Record schedule changes during troubleshooting.,Time-of-day effects are not yet a universal dosing rule.,ready_for_training_draft_after_full_text_QA
TEC-006,Technician Workflow,technician,How should targeting methods be taught?,"Scalp-based targeting, Beam F3, 5 cm/5.5 cm rules, neuronavigation, and circuit-guided methods are not interchangeable; each has assumptions and documentation requirements.",The team uses a specific method to place the coil consistently over the intended target.,"If the clinic changes targeting method, the chart should preserve which method was used and why.",strong,32289680; 37714408; 33243615,"32289680: Reliability of targeting methods in TMS for depression: Beam F3 vs. 5.5 cm. | 37714408: A randomized trial comparing beam F3 and 5.5 cm targeting in rTMS treatment of depression demonstrates similar effectiveness. | 33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines.","Train target localization as a named workflow, not a general scalp location.",Clinical superiority between practical targeting methods may be context-specific.,ready_for_training_draft_after_full_text_QA
TEC-007,Technician Workflow,technician,How does Beam F3 compare with 5.5 cm targeting?,"Studies comparing Beam F3 and 5.5 cm targeting in depression suggest similar effectiveness in some clinical contexts, but reliability and patient anatomy remain important.",Different clinics may use different validated placement methods.,Do not mix targeting rules mid-course unless directed and documented.,moderate,32289680; 37714408,32289680: Reliability of targeting methods in TMS for depression: Beam F3 vs. 5.5 cm. | 37714408: A randomized trial comparing beam F3 and 5.5 cm targeting in rTMS treatment of depression demonstrates similar effectiveness.,Use one target method consistently within a course unless ordered otherwise.,This does not prove all targeting methods are equivalent.,ready_for_training_draft_after_full_text_QA
TEC-008,Technician Workflow,technician,Why does coil orientation matter?,"Coil position and orientation affect induced electric-field direction and stimulation of intended tissue, so drift and rotation are dose-fidelity problems.",We keep the coil steady because small position changes can change what is stimulated.,"Use marks, neuronavigation, fixtures, and repeated checks according to device and clinic workflow.",strong,33243615; 19833552,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research.",Include coil drift checks during treatment.,"Exact tolerances depend on target, device, and localization method.",ready_for_training_draft_after_full_text_QA
TEC-009,Technician Workflow,technician,Can technicians change intensity for comfort?,Technicians should use only protocol-approved comfort adjustments and should not independently change prescribed treatment dose or protocol.,Tell us if it hurts; we can assess comfort while staying within the prescribed treatment plan.,"Escalate persistent intolerance; document any ramping, pauses, or clinician-approved changes.",strong,28541649; 27090022; 33243615,"28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder. | 33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines.",Define allowed comfort adjustments in SOP.,Local scope-of-practice rules control who may adjust what.,ready_for_training_draft_after_full_text_QA
TEC-010,Technician Workflow,technician,How should a seizure be handled?,"If a seizure occurs, stimulation should stop immediately and staff should follow emergency protocol focused on patient safety and rapid medical evaluation.",The clinic has a safety plan for rare emergencies.,"Protect from injury, time the event, avoid putting anything in the mouth, and summon medical help per protocol.",strong,33243615; 19833552; 34133991,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research. | 34133991: Seizure risk with repetitive TMS: Survey results from over a half-million treatment sessions.",Drill seizure-response workflow.,Emergency instructions must match local medical governance.,ready_for_training_draft_after_full_text_QA
